HOG	OG	Gene Tree Parent Clade	Arabidopsis_thaliana	Beta_vulgaris	Betula_pendula	Camellia_sinensis	Cinnamomum_kanehirae	Cucumis_sativus	Eucalyptus_grandis	Ginkgo_biloba	Malania_oleifera	Malus_domestica	Medicago_truncatula	Mimulus_guttatus	Nicotiana_tabacum	Physcomitrella_patens	Picea_abies	Pinus_tabuliformis	Populus_tremula	Prunus_avium	Salix_purpurea	Sequoiadendron_giganteum	Taxus_chinensis	Vitis_vinifera	Welwitschia_mirabilis	Zostera_marina
N21.HOG0017674	OG0008375	n0			Betpen_Bpev01.c2342.g0003.m0001			Cucsa.289100.1.v1.122 gene=Cucsa.289100.v1 seq_id=scaffold02698 type=cds																		
N21.HOG0017675	OG0008376	n0			Betpen_Bpev01.c0454.g0013.m0001			Cucsa.178560.1.v1.122 gene=Cucsa.178560.v1 seq_id=scaffold01227 type=cds																		
N21.HOG0017676	OG0008377	n14						Cucsa.339130.1.v1.122 gene=Cucsa.339130.v1 seq_id=scaffold03356 type=cds																		
N21.HOG0017677	OG0008377	n16			Betpen_Bpev01.c0094.g0077.m0001																					
N21.HOG0017678	OG0008378	n0			Betpen_Bpev01.c0592.g0006.m0001			Cucsa.370300.1.v1.122 gene=Cucsa.370300.v1 seq_id=scaffold03678 type=cds																		
N21.HOG0017679	OG0008379	n0			Betpen_Bpev01.c1029.g0015.m0001, Betpen_Bpev01.c1029.g0014.m0001, Betpen_Bpev01.c3064.g0001.m0001, Betpen_Bpev01.c1029.g0013.m0001			Cucsa.363870.1.v1.122 gene=Cucsa.363870.v1 seq_id=scaffold03611 type=cds																		
N21.HOG0017680	OG0008380	n0			Betpen_Bpev01.c0574.g0014.m0001			Cucsa.395640.1.v1.122 gene=Cucsa.395640.v1 seq_id=scaffold04100 type=cds																		
N21.HOG0017681	OG0008381	n0			Betpen_Bpev01.c0734.g0006.m0001																					
N21.HOG0017682	OG0008382	n8			Betpen_Bpev01.c1378.g0026.m0001			Cucsa.106580.1.v1.122 gene=Cucsa.106580.v1 seq_id=scaffold00930 type=cds																		
N21.HOG0017683	OG0008383	n0			Betpen_Bpev01.c0016.g0105.m0001			Cucsa.256520.1.v1.122 gene=Cucsa.256520.v1 seq_id=scaffold02229 type=cds																		
N21.HOG0017684	OG0008384	n5			Betpen_Bpev01.c0769.g0001.m0001																					
N21.HOG0017685	OG0008385	n0			Betpen_Bpev01.c0126.g0051.m0001			Cucsa.349490.2.v1.122 gene=Cucsa.349490.v1 seq_id=scaffold03487 type=cds																		
N21.HOG0017686	OG0008386	n5			Betpen_Bpev01.c0517.g0033.m0001			Cucsa.391640.1.v1.122 gene=Cucsa.391640.v1 seq_id=scaffold04062 type=cds																		
N21.HOG0017687	OG0008387	n4						Cucsa.275570.1.v1.122 gene=Cucsa.275570.v1 seq_id=scaffold02581 type=cds																		
N21.HOG0017688	OG0008388	n10						Cucsa.157050.1.v1.122 gene=Cucsa.157050.v1 seq_id=scaffold01141 type=cds																		
N21.HOG0017689	OG0008388	n11			Betpen_Bpev01.c1202.g0052.m0001																					
N21.HOG0017690	OG0008389	n0			Betpen_Bpev01.c1040.g0015.m0001																					
N21.HOG0017691	OG0008390	n0			Betpen_Bpev01.c0892.g0018.m0002, Betpen_Bpev01.c0892.g0018.m0001			Cucsa.129390.1.v1.122 gene=Cucsa.129390.v1 seq_id=scaffold01028 type=cds																		
N21.HOG0017692	OG0008391	n0			Betpen_Bpev01.c2366.g0001.m0002, Betpen_Bpev01.c2366.g0001.m0001			Cucsa.230110.1.v1.122 gene=Cucsa.230110.v1 seq_id=scaffold01954 type=cds																		
N21.HOG0017693	OG0008392	n3			Betpen_Bpev01.c0746.g0001.m0001, Betpen_Bpev01.c0073.g0001.m0001			Cucsa.250950.1.v1.122 gene=Cucsa.250950.v1 seq_id=scaffold02229 type=cds																		
N21.HOG0017694	OG0008393	n0			Betpen_Bpev01.c0298.g0006.m0001			Cucsa.107980.1.v1.122 gene=Cucsa.107980.v1 seq_id=scaffold00931 type=cds																		
N21.HOG0017695	OG0008394	n14			Betpen_Bpev01.c1657.g0005.m0001			Cucsa.328110.1.v1.122 gene=Cucsa.328110.v1 seq_id=scaffold03159 type=cds																		
N21.HOG0017696	OG0008395	n0			Betpen_Bpev01.c0096.g0015.m0001			Cucsa.158690.1.v1.122 gene=Cucsa.158690.v1 seq_id=scaffold01142 type=cds																		
N21.HOG0017697	OG0008396	n6			Betpen_Bpev01.c1702.g0011.m0001			Cucsa.032260.1.v1.122 gene=Cucsa.032260.v1 seq_id=scaffold00429 type=cds																		
N21.HOG0017698	OG0008397	n8			Betpen_Bpev01.c0505.g0007.m0001			Cucsa.201930.1.v1.122 gene=Cucsa.201930.v1 seq_id=scaffold01376 type=cds																		
N21.HOG0017699	OG0008398	n0			Betpen_Bpev01.c0505.g0004.m0001			Cucsa.201900.1.v1.122 gene=Cucsa.201900.v1 seq_id=scaffold01376 type=cds																		
N21.HOG0017700	OG0008399	n0			Betpen_Bpev01.c0984.g0021.m0001			Cucsa.202580.1.v1.122 gene=Cucsa.202580.v1 seq_id=scaffold01376 type=cds																		
N21.HOG0017701	OG0008400	n0			Betpen_Bpev01.c0210.g0025.m0001, Betpen_Bpev01.c0210.g0025.m0002			Cucsa.174800.1.v1.122 gene=Cucsa.174800.v1 seq_id=scaffold01221 type=cds																		
N21.HOG0017702	OG0008401	n0			Betpen_Bpev01.c1138.g0006.m0001			Cucsa.074490.1.v1.122 gene=Cucsa.074490.v1 seq_id=scaffold00785 type=cds																		
N21.HOG0017703	OG0008402	n2			Betpen_Bpev01.c0162.g0003.m0001			Cucsa.341740.1.v1.122 gene=Cucsa.341740.v1 seq_id=scaffold03356 type=cds																		
N21.HOG0017704	OG0008403	n0			Betpen_Bpev01.c2624.g0002.m0001			Cucsa.017020.1.v1.122 gene=Cucsa.017020.v1 seq_id=scaffold00233 type=cds																		
N21.HOG0017705	OG0008404	n0			Betpen_Bpev01.c1649.g0002.m0001			Cucsa.281510.1.v1.122 gene=Cucsa.281510.v1 seq_id=scaffold02639 type=cds																		
N21.HOG0017706	OG0008405	n9			Betpen_Bpev01.c0667.g0006.m0001			Cucsa.041880.1.v1.122 gene=Cucsa.041880.v1 seq_id=scaffold00540 type=cds																		
N21.HOG0017707	OG0008406	n0						Cucsa.117130.1.v1.122 gene=Cucsa.117130.v1 seq_id=scaffold00995 type=cds																		
N21.HOG0017708	OG0008407	n0			Betpen_Bpev01.c0603.g0011.m0001			Cucsa.090040.1.v1.122 gene=Cucsa.090040.v1 seq_id=scaffold00894 type=cds																		
N21.HOG0017709	OG0008408	n0			Betpen_Bpev01.c0915.g0012.m0001			Cucsa.090220.1.v1.122 gene=Cucsa.090220.v1 seq_id=scaffold00894 type=cds																		
N21.HOG0017710	OG0008409	n0			Betpen_Bpev01.c1183.g0015.m0001			Cucsa.356310.1.v1.122 gene=Cucsa.356310.v1 seq_id=scaffold03577 type=cds																		
N21.HOG0017711	OG0008410	n0			Betpen_Bpev01.c0396.g0016.m0001, Betpen_Bpev01.c0570.g0021.m0001, Betpen_Bpev01.c0396.g0017.m0001			Cucsa.379870.1.v1.122 gene=Cucsa.379870.v1 seq_id=scaffold03837 type=cds																		
N21.HOG0017712	OG0008411	n6			Betpen_Bpev01.c0189.g0056.m0001																					
N21.HOG0017713	OG0008411	n15			Betpen_Bpev01.c0189.g0057.m0001			Cucsa.113380.1.v1.122 gene=Cucsa.113380.v1 seq_id=scaffold00953 type=cds																		
N21.HOG0017714	OG0008412	n0			Betpen_Bpev01.c1411.g0011.m0001			Cucsa.251050.1.v1.122 gene=Cucsa.251050.v1 seq_id=scaffold02229 type=cds																		
N21.HOG0017715	OG0008413	n3			Betpen_Bpev01.c0155.g0013.m0002, Betpen_Bpev01.c0155.g0013.m0001, Betpen_Bpev01.c0155.g0013.m0003			Cucsa.098510.1.v1.122 gene=Cucsa.098510.v1 seq_id=scaffold00923 type=cds																		
N21.HOG0017716	OG0008414	n12			Betpen_Bpev01.c0155.g0009.m0001																					
N21.HOG0017717	OG0008414	n24						Cucsa.196830.1.v1.122 gene=Cucsa.196830.v1 seq_id=scaffold01357 type=cds																		
N21.HOG0017718	OG0008415	n0			Betpen_Bpev01.c0863.g0005.m0001			Cucsa.181880.1.v1.122 gene=Cucsa.181880.v1 seq_id=scaffold01251 type=cds																		
N21.HOG0017719	OG0008416	n8			Betpen_Bpev01.c1157.g0010.m0001			Cucsa.228460.1.v1.122 gene=Cucsa.228460.v1 seq_id=scaffold01933 type=cds																		
N21.HOG0017720	OG0008417	n0			Betpen_Bpev01.c0022.g0169.m0001			Cucsa.018080.1.v1.122 gene=Cucsa.018080.v1 seq_id=scaffold00252 type=cds																		
N21.HOG0017721	OG0008418	n11			Betpen_Bpev01.c1378.g0010.m0001			Cucsa.106420.1.v1.122 gene=Cucsa.106420.v1 seq_id=scaffold00930 type=cds																		
N21.HOG0017722	OG0008419	n9			Betpen_Bpev01.c0874.g0009.m0001			Cucsa.127400.1.v1.122 gene=Cucsa.127400.v1 seq_id=scaffold01019 type=cds																		
N21.HOG0017723	OG0008420	n1			Betpen_Bpev01.c2197.g0004.m0001																					
N21.HOG0017724	OG0008420	n15			Betpen_Bpev01.c0161.g0114.m0001			Cucsa.160520.4.v1.122 gene=Cucsa.160520.v1 seq_id=scaffold01144 type=cds																		
N21.HOG0017725	OG0008421	n3						Cucsa.378860.1.v1.122 gene=Cucsa.378860.v1 seq_id=scaffold03810 type=cds																		
N21.HOG0017726	OG0008421	n28			Betpen_Bpev01.c0082.g0079.m0001, Betpen_Bpev01.c0082.g0079.m0002																					
N21.HOG0017727	OG0008422	n0						Cucsa.128960.1.v1.122 gene=Cucsa.128960.v1 seq_id=scaffold01028 type=cds, Cucsa.128950.1.v1.122 gene=Cucsa.128950.v1 seq_id=scaffold01028 type=cds																		
N21.HOG0017728	OG0008426	n6			Betpen_Bpev01.c0473.g0042.m0001																					
N21.HOG0017729	OG0008426	n14			Betpen_Bpev01.c1426.g0008.m0002, Betpen_Bpev01.c1426.g0008.m0001																					
N21.HOG0017730	OG0008427	n23			Betpen_Bpev01.c0606.g0005.m0001			Cucsa.281970.1.v1.122 gene=Cucsa.281970.v1 seq_id=scaffold02641 type=cds																		
N21.HOG0017731	OG0008427	n26			Betpen_Bpev01.c1143.g0003.m0001																					
N21.HOG0017732	OG0008428	n2			Betpen_Bpev01.c0321.g0020.m0001																					
N21.HOG0017733	OG0008428	n14			Betpen_Bpev01.c0447.g0004.m0001			Cucsa.379640.1.v1.122 gene=Cucsa.379640.v1 seq_id=scaffold03837 type=cds																		
N21.HOG0017734	OG0008429	n16			Betpen_Bpev01.c0135.g0039.m0001																					
N21.HOG0017735	OG0008431	n0			Betpen_Bpev01.c0335.g0030.m0001			Cucsa.284290.1.v1.122 gene=Cucsa.284290.v1 seq_id=scaffold02653 type=cds																		
N21.HOG0017736	OG0008432	n8			Betpen_Bpev01.c0191.g0030.m0001																					
N21.HOG0017737	OG0008432	n23						Cucsa.308750.1.v1.122 gene=Cucsa.308750.v1 seq_id=scaffold02978 type=cds																		
N21.HOG0017738	OG0008433	n11			Betpen_Bpev01.c0582.g0005.m0001																					
N21.HOG0017739	OG0008434	n0			Betpen_Bpev01.c0363.g0024.m0001																					
N21.HOG0017740	OG0008435	n0						Cucsa.084600.1.v1.122 gene=Cucsa.084600.v1 seq_id=scaffold00862 type=cds																		
N21.HOG0017741	OG0008437	n0						Cucsa.128110.1.v1.122 gene=Cucsa.128110.v1 seq_id=scaffold01024 type=cds																		
N21.HOG0017742	OG0008443	n0						Cucsa.150000.1.v1.122 gene=Cucsa.150000.v1 seq_id=scaffold01110 type=cds																		
N21.HOG0017743	OG0008466	n12			Betpen_Bpev01.c3211.g0003.m0001, Betpen_Bpev01.c0094.g0283.m0001																					
N21.HOG0017744	OG0008467	n7			Betpen_Bpev01.c0094.g0202.m0001																					
N21.HOG0017745	OG0008468	n8			Betpen_Bpev01.c0094.g0192.m0001			Cucsa.245650.1.v1.122 gene=Cucsa.245650.v1 seq_id=scaffold02140 type=cds																		
N21.HOG0017746	OG0008469	n0			Betpen_Bpev01.c0191.g0002.m0001			Cucsa.257520.1.v1.122 gene=Cucsa.257520.v1 seq_id=scaffold02229 type=cds																		
N21.HOG0017747	OG0008470	n1			Betpen_Bpev01.c0867.g0011.m0001			Cucsa.018380.1.v1.122 gene=Cucsa.018380.v1 seq_id=scaffold00252 type=cds																		
N21.HOG0017748	OG0008471	n0			Betpen_Bpev01.c0425.g0009.m0001			Cucsa.362500.1.v1.122 gene=Cucsa.362500.v1 seq_id=scaffold03611 type=cds																		
N21.HOG0017749	OG0008472	n0			Betpen_Bpev01.c0123.g0015.m0001			Cucsa.029550.1.v1.122 gene=Cucsa.029550.v1 seq_id=scaffold00397 type=cds																		
N21.HOG0017750	OG0008473	n0			Betpen_Bpev01.c0419.g0013.m0001			Cucsa.084330.1.v1.122 gene=Cucsa.084330.v1 seq_id=scaffold00862 type=cds																		
N21.HOG0017751	OG0008474	n4			Betpen_Bpev01.c0053.g0051.m0001			Cucsa.084590.1.v1.122 gene=Cucsa.084590.v1 seq_id=scaffold00862 type=cds																		
N21.HOG0017752	OG0008475	n0			Betpen_Bpev01.c0614.g0013.m0001			Cucsa.168240.1.v1.122 gene=Cucsa.168240.v1 seq_id=scaffold01160 type=cds																		
N21.HOG0017753	OG0008476	n0			Betpen_Bpev01.c0891.g0019.m0001			Cucsa.254690.1.v1.122 gene=Cucsa.254690.v1 seq_id=scaffold02229 type=cds																		
N21.HOG0017754	OG0008477	n0			Betpen_Bpev01.c0177.g0006.m0001, Betpen_Bpev01.c0508.g0002.m0001			Cucsa.383260.1.v1.122 gene=Cucsa.383260.v1 seq_id=scaffold03882 type=cds																		
N21.HOG0017755	OG0008478	n9			Betpen_Bpev01.c2581.g0006.m0001			Cucsa.254360.1.v1.122 gene=Cucsa.254360.v1 seq_id=scaffold02229 type=cds																		
N21.HOG0017756	OG0008479	n0			Betpen_Bpev01.c0161.g0019.m0002			Cucsa.342730.2.v1.122 gene=Cucsa.342730.v1 seq_id=scaffold03356 type=cds																		
N21.HOG0017757	OG0008480	n0			Betpen_Bpev01.c1209.g0005.m0001			Cucsa.095590.1.v1.122 gene=Cucsa.095590.v1 seq_id=scaffold00919 type=cds																		
N21.HOG0017758	OG0008481	n1			Betpen_Bpev01.c1092.g0002.m0001																					
N21.HOG0017759	OG0008481	n11			Betpen_Bpev01.c0190.g0078.m0001			Cucsa.176170.1.v1.122 gene=Cucsa.176170.v1 seq_id=scaffold01225 type=cds																		
N21.HOG0017760	OG0008482	n7			Betpen_Bpev01.c0437.g0005.m0001			Cucsa.207310.1.v1.122 gene=Cucsa.207310.v1 seq_id=scaffold01443 type=cds																		
N21.HOG0017761	OG0008483	n15						Cucsa.182180.1.v1.122 gene=Cucsa.182180.v1 seq_id=scaffold01251 type=cds																		
N21.HOG0017762	OG0008484	n10						Cucsa.312100.1.v1.122 gene=Cucsa.312100.v1 seq_id=scaffold02995 type=cds																		
N21.HOG0017763	OG0008485	n21			Betpen_Bpev01.c0726.g0009.m0001																					
N21.HOG0017764	OG0008486	n10			Betpen_Bpev01.c0848.g0037.m0001			Cucsa.285760.1.v1.122 gene=Cucsa.285760.v1 seq_id=scaffold02653 type=cds																		
N21.HOG0017765	OG0008487	n0			Betpen_Bpev01.c0242.g0008.m0001			Cucsa.191210.1.v1.122 gene=Cucsa.191210.v1 seq_id=scaffold01327 type=cds																		
N21.HOG0017766	OG0008488	n14			Betpen_Bpev01.c0203.g0002.m0001			Cucsa.302110.1.v1.122 gene=Cucsa.302110.v1 seq_id=scaffold02951 type=cds																		
N21.HOG0017767	OG0008489	n0			Betpen_Bpev01.c0261.g0046.m0001			Cucsa.067630.1.v1.122 gene=Cucsa.067630.v1 seq_id=scaffold00699 type=cds																		
N21.HOG0017768	OG0008490	n0			Betpen_Bpev01.c0449.g0024.m0001			Cucsa.327800.1.v1.122 gene=Cucsa.327800.v1 seq_id=scaffold03159 type=cds																		
N21.HOG0017769	OG0008491	n0						Cucsa.330290.1.v1.122 gene=Cucsa.330290.v1 seq_id=scaffold03210 type=cds																		
N21.HOG0017770	OG0008492	n17			Betpen_Bpev01.c0357.g0063.m0001																					
N21.HOG0017771	OG0008492	n24						Cucsa.284870.1.v1.122 gene=Cucsa.284870.v1 seq_id=scaffold02653 type=cds																		
N21.HOG0017772	OG0008493	n14			Betpen_Bpev01.c0357.g0082.m0001			Cucsa.285010.1.v1.122 gene=Cucsa.285010.v1 seq_id=scaffold02653 type=cds																		
N21.HOG0017773	OG0008494	n0			Betpen_Bpev01.c0095.g0051.m0001			Cucsa.096540.1.v1.122 gene=Cucsa.096540.v1 seq_id=scaffold00919 type=cds																		
N21.HOG0017774	OG0008495	n14			Betpen_Bpev01.c0403.g0017.m0001			Cucsa.106080.1.v1.122 gene=Cucsa.106080.v1 seq_id=scaffold00929 type=cds																		
N21.HOG0017775	OG0008496	n0			Betpen_Bpev01.c1171.g0007.m0001			Cucsa.099230.1.v1.122 gene=Cucsa.099230.v1 seq_id=scaffold00926 type=cds																		
N21.HOG0017776	OG0008497	n0			Betpen_Bpev01.c0066.g0025.m0001																					
N21.HOG0017777	OG0008498	n21						Cucsa.152120.1.v1.122 gene=Cucsa.152120.v1 seq_id=scaffold01119 type=cds																		
N21.HOG0017778	OG0008499	n0			Betpen_Bpev01.c0574.g0012.m0001			Cucsa.395630.1.v1.122 gene=Cucsa.395630.v1 seq_id=scaffold04100 type=cds																		
N21.HOG0017779	OG0008500	n0			Betpen_Bpev01.c1156.g0002.m0001			Cucsa.365570.1.v1.122 gene=Cucsa.365570.v1 seq_id=scaffold03611 type=cds																		
N21.HOG0017780	OG0008501	n0			Betpen_Bpev01.c0480.g0024.m0001			Cucsa.272310.1.v1.122 gene=Cucsa.272310.v1 seq_id=scaffold02500 type=cds																		
N21.HOG0017781	OG0008502	n0			Betpen_Bpev01.c0480.g0027.m0001			Cucsa.077410.1.v1.122 gene=Cucsa.077410.v1 seq_id=scaffold00791 type=cds																		
N21.HOG0017782	OG0008503	n0			Betpen_Bpev01.c0480.g0029.m0001			Cucsa.272330.1.v1.122 gene=Cucsa.272330.v1 seq_id=scaffold02500 type=cds																		
N21.HOG0017783	OG0008504	n10			Betpen_Bpev01.c0275.g0059.m0001			Cucsa.236940.1.v1.122 gene=Cucsa.236940.v1 seq_id=scaffold02023 type=cds																		
N21.HOG0017784	OG0008505	n15						Cucsa.236650.1.v1.122 gene=Cucsa.236650.v1 seq_id=scaffold02018 type=cds																		
N21.HOG0017785	OG0008505	n18			Betpen_Bpev01.c0783.g0007.m0001																					
N21.HOG0017786	OG0008506	n0			Betpen_Bpev01.c0134.g0019.m0001			Cucsa.340670.1.v1.122 gene=Cucsa.340670.v1 seq_id=scaffold03356 type=cds																		
N21.HOG0017787	OG0008507	n0			Betpen_Bpev01.c0038.g0156.m0001			Cucsa.075350.1.v1.122 gene=Cucsa.075350.v1 seq_id=scaffold00789 type=cds																		
N21.HOG0017788	OG0008508	n0			Betpen_Bpev01.c0449.g0027.m0001			Cucsa.284560.1.v1.122 gene=Cucsa.284560.v1 seq_id=scaffold02653 type=cds																		
N21.HOG0017789	OG0008509	n0			Betpen_Bpev01.c1346.g0006.m0001			Cucsa.327810.1.v1.122 gene=Cucsa.327810.v1 seq_id=scaffold03159 type=cds																		
N21.HOG0017790	OG0008510	n7			Betpen_Bpev01.c0357.g0034.m0001			Cucsa.033750.1.v1.122 gene=Cucsa.033750.v1 seq_id=scaffold00438 type=cds																		
N21.HOG0017791	OG0008511	n0			Betpen_Bpev01.c0357.g0040.m0001			Cucsa.359320.1.v1.122 gene=Cucsa.359320.v1 seq_id=scaffold03588 type=cds																		
N21.HOG0017792	OG0008512	n0			Betpen_Bpev01.c0052.g0105.m0001			Cucsa.075740.1.v1.122 gene=Cucsa.075740.v1 seq_id=scaffold00789 type=cds																		
N21.HOG0017793	OG0008513	n0			Betpen_Bpev01.c0018.g0112.m0001			Cucsa.325830.1.v1.122 gene=Cucsa.325830.v1 seq_id=scaffold03132 type=cds																		
N21.HOG0017794	OG0008514	n10			Betpen_Bpev01.c0018.g0034.m0001																					
N21.HOG0017795	OG0008515	n0			Betpen_Bpev01.c0052.g0025.m0001, Betpen_Bpev01.c0052.g0025.m0002			Cucsa.349190.1.v1.122 gene=Cucsa.349190.v1 seq_id=scaffold03487 type=cds																		
N21.HOG0017796	OG0008516	n16			Betpen_Bpev01.c1530.g0010.m0001			Cucsa.047490.1.v1.122 gene=Cucsa.047490.v1 seq_id=scaffold00542 type=cds																		
N21.HOG0017797	OG0008517	n21			Betpen_Bpev01.c0405.g0014.m0001			Cucsa.048280.1.v1.122 gene=Cucsa.048280.v1 seq_id=scaffold00542 type=cds																		
N21.HOG0017798	OG0008518	n3						Cucsa.191640.1.v1.122 gene=Cucsa.191640.v1 seq_id=scaffold01330 type=cds																		
N21.HOG0017799	OG0008518	n8			Betpen_Bpev01.c0044.g0020.m0001			Cucsa.191630.1.v1.122 gene=Cucsa.191630.v1 seq_id=scaffold01330 type=cds																		
N21.HOG0017800	OG0008520	n0			Betpen_Bpev01.c0274.g0003.m0002, Betpen_Bpev01.c0274.g0003.m0001			Cucsa.088170.2.v1.122 gene=Cucsa.088170.v1 seq_id=scaffold00888 type=cds																		
N21.HOG0017801	OG0008521	n0			Betpen_Bpev01.c0274.g0035.m0001			Cucsa.034430.1.v1.122 gene=Cucsa.034430.v1 seq_id=scaffold00444 type=cds																		
N21.HOG0017802	OG0008522	n0			Betpen_Bpev01.c0147.g0009.m0001			Cucsa.177170.1.v1.122 gene=Cucsa.177170.v1 seq_id=scaffold01225 type=cds																		
N21.HOG0017803	OG0008523	n3						Cucsa.395420.1.v1.122 gene=Cucsa.395420.v1 seq_id=scaffold04100 type=cds																		
N21.HOG0017804	OG0008525	n0			Betpen_Bpev01.c0066.g0023.m0001			Cucsa.252040.1.v1.122 gene=Cucsa.252040.v1 seq_id=scaffold02229 type=cds																		
N21.HOG0017805	OG0008526	n12			Betpen_Bpev01.c0063.g0025.m0001			Cucsa.122270.1.v1.122 gene=Cucsa.122270.v1 seq_id=scaffold00999 type=cds																		
N21.HOG0017806	OG0008527	n0			Betpen_Bpev01.c1055.g0004.m0001			Cucsa.122110.1.v1.122 gene=Cucsa.122110.v1 seq_id=scaffold00999 type=cds																		
N21.HOG0017807	OG0008528	n0			Betpen_Bpev01.c1103.g0002.m0002, Betpen_Bpev01.c1103.g0002.m0001			Cucsa.122000.1.v1.122 gene=Cucsa.122000.v1 seq_id=scaffold00999 type=cds																		
N21.HOG0017808	OG0008529	n5						Cucsa.250030.1.v1.122 gene=Cucsa.250030.v1 seq_id=scaffold02219 type=cds																		
N21.HOG0017809	OG0008529	n13			Betpen_Bpev01.c1558.g0005.m0001																					
N21.HOG0017810	OG0008529	n18			Betpen_Bpev01.c1558.g0006.m0001																					
N21.HOG0017811	OG0008530	n2			Betpen_Bpev01.c0025.g0041.m0001																					
N21.HOG0017812	OG0008531	n8			Betpen_Bpev01.c0280.g0026.m0001			Cucsa.097440.1.v1.122 gene=Cucsa.097440.v1 seq_id=scaffold00919 type=cds																		
N21.HOG0017813	OG0008532	n0			Betpen_Bpev01.c1135.g0002.m0001			Cucsa.182070.1.v1.122 gene=Cucsa.182070.v1 seq_id=scaffold01251 type=cds																		
N21.HOG0017814	OG0008533	n0			Betpen_Bpev01.c0848.g0009.m0001			Cucsa.285630.1.v1.122 gene=Cucsa.285630.v1 seq_id=scaffold02653 type=cds																		
N21.HOG0017815	OG0008534	n3			Betpen_Bpev01.c0038.g0028.m0001			Cucsa.394210.1.v1.122 gene=Cucsa.394210.v1 seq_id=scaffold04100 type=cds																		
N21.HOG0017816	OG0008535	n0			Betpen_Bpev01.c0158.g0053.m0001			Cucsa.303670.1.v1.122 gene=Cucsa.303670.v1 seq_id=scaffold02951 type=cds																		
N21.HOG0017817	OG0008536	n0			Betpen_Bpev01.c0496.g0016.m0001			Cucsa.126600.1.v1.122 gene=Cucsa.126600.v1 seq_id=scaffold01017 type=cds																		
N21.HOG0017818	OG0008537	n3			Betpen_Bpev01.c2887.g0001.m0001			Cucsa.167600.1.v1.122 gene=Cucsa.167600.v1 seq_id=scaffold01154 type=cds																		
N21.HOG0017819	OG0008538	n24						Cucsa.356420.1.v1.122 gene=Cucsa.356420.v1 seq_id=scaffold03577 type=cds																		
N21.HOG0017820	OG0008539	n0			Betpen_Bpev01.c0080.g0048.m0001			Cucsa.031510.1.v1.122 gene=Cucsa.031510.v1 seq_id=scaffold00429 type=cds																		
N21.HOG0017821	OG0008540	n0			Betpen_Bpev01.c0038.g0165.m0001			Cucsa.394740.1.v1.122 gene=Cucsa.394740.v1 seq_id=scaffold04100 type=cds																		
N21.HOG0017822	OG0008541	n0			Betpen_Bpev01.c0038.g0161.m0001			Cucsa.394720.1.v1.122 gene=Cucsa.394720.v1 seq_id=scaffold04100 type=cds																		
N21.HOG0017823	OG0008542	n0			Betpen_Bpev01.c0718.g0001.m0001			Cucsa.398750.2.v1.122 gene=Cucsa.398750.v1 seq_id=scaffold04170 type=cds																		
N21.HOG0017824	OG0008543	n7			Betpen_Bpev01.c0488.g0020.m0001, Betpen_Bpev01.c0488.g0020.m0002			Cucsa.116100.1.v1.122 gene=Cucsa.116100.v1 seq_id=scaffold00995 type=cds																		
N21.HOG0017825	OG0008544	n0			Betpen_Bpev01.c0088.g0023.m0001			Cucsa.033920.1.v1.122 gene=Cucsa.033920.v1 seq_id=scaffold00438 type=cds																		
N21.HOG0017826	OG0008545	n0			Betpen_Bpev01.c0045.g0010.m0001			Cucsa.360290.1.v1.122 gene=Cucsa.360290.v1 seq_id=scaffold03588 type=cds																		
N21.HOG0017827	OG0008546	n0			Betpen_Bpev01.c1936.g0007.m0001			Cucsa.359640.1.v1.122 gene=Cucsa.359640.v1 seq_id=scaffold03588 type=cds																		
N21.HOG0017828	OG0008547	n4			Betpen_Bpev01.c0015.g0171.m0001			Cucsa.106140.1.v1.122 gene=Cucsa.106140.v1 seq_id=scaffold00929 type=cds																		
N21.HOG0017829	OG0008548	n0			Betpen_Bpev01.c0189.g0054.m0001			Cucsa.167430.1.v1.122 gene=Cucsa.167430.v1 seq_id=scaffold01154 type=cds																		
N21.HOG0017830	OG0008549	n0			Betpen_Bpev01.c0189.g0028.m0001			Cucsa.198220.1.v1.122 gene=Cucsa.198220.v1 seq_id=scaffold01357 type=cds																		
N21.HOG0017831	OG0008550	n3			Betpen_Bpev01.c1609.g0001.m0001			Cucsa.377370.1.v1.122 gene=Cucsa.377370.v1 seq_id=scaffold03805 type=cds																		
N21.HOG0017832	OG0008551	n0			Betpen_Bpev01.c0134.g0049.m0001			Cucsa.271900.1.v1.122 gene=Cucsa.271900.v1 seq_id=scaffold02500 type=cds																		
N21.HOG0017833	OG0008552	n6						Cucsa.101090.1.v1.122 gene=Cucsa.101090.v1 seq_id=scaffold00927 type=cds																		
N21.HOG0017834	OG0008552	n17			Betpen_Bpev01.c1078.g0010.m0001																					
N21.HOG0017835	OG0008553	n10			Betpen_Bpev01.c0834.g0017.m0001																					
N21.HOG0017836	OG0008553	n14			Betpen_Bpev01.c0834.g0018.m0001			Cucsa.291520.1.v1.122 gene=Cucsa.291520.v1 seq_id=scaffold02766 type=cds																		
N21.HOG0017837	OG0008554	n0			Betpen_Bpev01.c0052.g0087.m0001																					
N21.HOG0017838	OG0008555	n6			Betpen_Bpev01.c1289.g0001.m0001			Cucsa.057950.1.v1.122 gene=Cucsa.057950.v1 seq_id=scaffold00614 type=cds																		
N21.HOG0017839	OG0008556	n6			Betpen_Bpev01.c1223.g0004.m0001																					
